Pais,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2021,2011-21,2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,146.9,151.9,157.2,161.6,160.6,175.4,190.0,200.2,202.3,202.3,221.0,201.3,212.5,225.0,233.8,244.1,269.0,295.7,301.4,302.5,306.4,330.4,345.9,337.4,369.8,375.2,396.7,436.8,430.5,419.4,415.0,447.9,8.241%,3.1%,1.1%
Ukraine,788.2,733.0,626.8,539.8,449.2,438.7,381.5,367.1,354.9,349.2,349.5,343.2,343.5,351.7,333.6,332.3,341.1,344.8,334.4,284.5,302.4,317.0,311.8,299.7,259.0,206.3,227.1,199.0,210.4,197.2,184.5,179.7,-2.312%,-5.5%,0.5%
United Kingdom,616.2,625.1,608.0,594.9,585.7,582.0,603.7,583.6,585.0,576.1,589.6,598.2,579.2,589.3,594.3,599.2,600.6,587.2,576.2,526.2,541.9,506.0,522.2,510.4,468.5,450.8,427.2,414.6,406.7,390.6,329.1,348.4,6.154%,-3.7%,0.9%
Other Europe,344.3,320.9,303.9,285.8,271.3,274.7,283.3,296.2,303.4,292.0,303.9,315.0,326.1,338.8,342.9,335.7,346.8,341.7,338.0,332.9,336.6,334.9,318.8,320.7,297.0,310.7,317.9,325.8,320.0,315.5,285.1,259.0,-8.925%,-2.5%,0.7%
Azerbaijan,94.0,89.0,77.7,65.9,55.7,52.8,45.9,44.3,44.6,44.3,45.1,43.3,43.1,38.3,41.4,46.2,44.4,43.5,44.3,39.2,37.6,40.0,40.3,40.9,41.3,43.3,42.6,41.2,43.2,44.5,43.2,45.7,5.946%,1.3%,0.1%
Belarus,95.6,96.5,91.6,78.1,65.7,58.0,59.4,60.0,58.2,56.6,55.2,52.8,53.4,52.3,59.1,60.4,62.7,61.7,64.5,62.6,65.9,62.8,64.6,64.1,63.1,58.2,58.4,59.3,64.6,65.1,59.6,60.7,2.142%,-0.3%,0.2%
Kazakhstan,256.3,254.4,251.1,222.4,206.4,183.6,162.7,147.8,142.5,135.2,125.1,142.6,149.5,162.8,179.4,186.2,200.4,216.1,232.9,216.1,227.2,253.8,264.5,268.9,270.8,255.3,254.5,268.3,294.2,286.5,273.8,272.1,-0.371%,0.7%,0.7%
Russian Federation,2723.4,2629.6,2507.5,2305.5,2115.3,1996.9,1934.2,1820.6,1806.0,1819.0,1834.6,1857.5,1876.0,1938.4,1961.3,1957.4,2029.6,2032.1,2057.0,1925.5,1990.9,2067.6,2076.4,2050.5,2043.6,2015.7,2046.1,2043.8,2127.5,2130.9,2010.6,2172.1,8.329%,0.5%,5.6%
Turkmenistan,95.5,95.6,74.8,74.6,62.1,57.3,67.0,50.4,56.3,62.5,70.3,76.4,73.1,89.3,92.3,94.2,94.8,96.8,96.3,93.6,102.2,122.1,131.5,133.2,133.8,146.4,143.6,142.4,152.1,160.4,154.2,180.2,17.223%,4.0%,0.5%
Uzbekistan,127.0,126.1,120.2,129.8,124.5,126.6,130.3,129.9,131.0,145.1,148.0,149.3,154.1,142.1,142.8,141.2,136.1,142.9,138.9,134.1,134.9,141.3,138.0,139.5,140.4,134.3,130.2,132.9,139.1,139.5,137.3,142.9,4.370%,0.1%,0.4%
Other CIS,87.9,70.7,54.5,37.5,26.3,21.7,22.6,22.3,22.2,18.2,16.8,16.8,17.2,17.5,19.7,20.9,21.9,24.9,26.5,24.8,24.5,26.3,28.6,27.8,30.4,31.7,32.2,33.7,38.4,36.8,35.5,38.5,8.825%,3.9%,0.1%
Iran,289.2,316.6,335.6,326.1,352.6,363.3,379.0,388.1,392.6,420.4,442.5,465.8,486.5,513.3,549.0,572.6,621.6,655.4,679.4,689.0,706.9,723.8,722.8,731.4,755.5,749.9,802.5,828.6,852.5,842.4,856.9,892.7,4.462%,2.1%,2.3%
Iraq,110.3,44.7,66.2,88.8,102.5,102.1,102.8,134.4,129.3,120.3,149.4,154.8,142.7,124.1,145.0,137.1,134.4,136.2,153.6,157.3,170.5,184.6,207.6,226.4,227.1,242.1,273.6,282.3,312.2,304.6,276.9,289.7,4.931%,4.6%,0.7%
